schema_version,source_commit,source_tree,object_format,ignored_policy,inventory_digest,inventory_rows,source_inventory_digest,index_inventory_digest,untracked_inventory_digest,ignored_inventory_digest,filesystem_inventory_digest,filesystem_entries,ledger_self_path,path,source_tracked,source_git_mode,source_object_type,source_git_blob_id,source_sha256,source_bytes,source_lines,source_content_kind,index_tracked,index_git_mode,index_git_blob_id,index_flags,index_sha256,index_bytes,index_lines,index_content_kind,source_index_state,current_scope,current_fs_type,current_fs_mode,current_git_blob_id,current_sha256,current_bytes,current_lines,current_content_kind,worktree_state,ignore_rule_source,ignore_pattern,generated_candidate_reason,category,provenance_class,git_blob_id,sha256,bytes,lines,language,format,generated,generator,public_surface,security_critical,science_critical,authority_critical,provenance_review_status,provenance_evidence,license_review_status,license_expression,license_evidence,reviewer,review_status,requirements,assumptions,defects,tests,evidence,disposition,completed_at
1.0.0,0795989aa7b682e6bc1108b532939c52b5d7fdfc,434a7d0f13f8d4100a6a2d02d77fcd76159aefcc,sha1,reject,3062019feafca7c7a03419e0f12839ed62df46c189981eadf36b2be2d77998d4,356,380a216abe4e36c443643c898536d691d2fb1edf0ce9d083dbcb603fda7591e9,32d39c84dbf344813be0068d619564ace062de90bff6353479f1d1acdb1bf376,9117ecc6a8a0b4c58c970fd535ef282243328dec3c6949ea810e95aa0d5b2a0d,f81bd55e87c0507a67adcd9b79c2f036047dd2a956b0d7730ec4fd3c5c7f0272,05f7683d254d94b0121433c5b283a43c2e05c2fe250abb9f9ff5d1f4f4714573,356,audit/generated/FILE_REVIEW_LEDGER.csv,.github/workflows/ci.yml,true,100644,blob,9d70b6905841cefbe06ff73942e9a856af0a1218,dabd674e79262f8684b3cda91ef3df906abea070bbd675a5e8a70d049fb6984b,6802,161,TEXT_UTF8,true,100644,9d70b6905841cefbe06ff73942e9a856af0a1218,NONE,dabd674e79262f8684b3cda91ef3df906abea070bbd675a5e8a70d049fb6984b,6802,161,TEXT_UTF8,IDENTICAL,TRACKED,REGULAR,100644,9d70b6905841cefbe06ff73942e9a856af0a1218,dabd674e79262f8684b3cda91ef3df906abea070bbd675a5e8a70d049fb6984b,6802,161,TEXT_UTF8,CLEAN_AGAINST_INDEX,,,NONE_OBSERVED_REVIEW_REQUIRED,CI_WORKFLOW,DECLARED_SOURCE_COMMIT_AND_CURRENT_VIEW,9d70b6905841cefbe06ff73942e9a856af0a1218,dabd674e79262f8684b3cda91ef3df906abea070bbd675a5e8a70d049fb6984b,6802,161,YAML,YAML,NO,,NO,YES,NO,YES,CONFIRMED,CH-T002-E09#03dc4e2df256ecf502486d2afaa7ea6f864b7405a4cb833764f3c7990300729d:PROVENANCE,APPROVED,Apache-2.0 OR MIT,CH-T002-E09#03dc4e2df256ecf502486d2afaa7ea6f864b7405a4cb833764f3c7990300729d:LICENSE,ch-t002-e0002-lane-01@local.invalid,REVIEWED,CH-T002-N01,,NONE,test_n01_accepted,CH-T002-E09#03dc4e2df256ecf502486d2afaa7ea6f864b7405a4cb833764f3c7990300729d:PRIMARY;CH-T002-E09#03dc4e2df256ecf502486d2afaa7ea6f864b7405a4cb833764f3c7990300729d:SECONDARY;CH-T002-E10#03dc4e2df256ecf502486d2afaa7ea6f864b7405a4cb833764f3c7990300729d:PRIMARY;CH-T002-E11#03dc4e2df256ecf502486d2afaa7ea6f864b7405a4cb833764f3c7990300729d:SECONDARY,ACCEPTED,2026-07-22T12:04:42Z
1.0.0,0795989aa7b682e6bc1108b532939c52b5d7fdfc,434a7d0f13f8d4100a6a2d02d77fcd76159aefcc,sha1,reject,3062019feafca7c7a03419e0f12839ed62df46c189981eadf36b2be2d77998d4,356,380a216abe4e36c443643c898536d691d2fb1edf0ce9d083dbcb603fda7591e9,32d39c84dbf344813be0068d619564ace062de90bff6353479f1d1acdb1bf376,9117ecc6a8a0b4c58c970fd535ef282243328dec3c6949ea810e95aa0d5b2a0d,f81bd55e87c0507a67adcd9b79c2f036047dd2a956b0d7730ec4fd3c5c7f0272,05f7683d254d94b0121433c5b283a43c2e05c2fe250abb9f9ff5d1f4f4714573,356,audit/generated/FILE_REVIEW_LEDGER.csv,.github/workflows/formal.yml,true,100644,blob,5e1a2dc76edf76a83873f4c5344ce2b54aebaddd,3de8203531471e675ee03b535fb7c690527a7fd6922a9dd3edb4be32a83443b5,1394,39,TEXT_UTF8,true,100644,5e1a2dc76edf76a83873f4c5344ce2b54aebaddd,NONE,3de8203531471e675ee03b535fb7c690527a7fd6922a9dd3edb4be32a83443b5,1394,39,TEXT_UTF8,IDENTICAL,TRACKED,REGULAR,100644,5e1a2dc76edf76a83873f4c5344ce2b54aebaddd,3de8203531471e675ee03b535fb7c690527a7fd6922a9dd3edb4be32a83443b5,1394,39,TEXT_UTF8,CLEAN_AGAINST_INDEX,,,NONE_OBSERVED_REVIEW_REQUIRED,CI_WORKFLOW,DECLARED_SOURCE_COMMIT_AND_CURRENT_VIEW,5e1a2dc76edf76a83873f4c5344ce2b54aebaddd,3de8203531471e675ee03b535fb7c690527a7fd6922a9dd3edb4be32a83443b5,1394,39,YAML,YAML,NO,,NO,YES,NO,YES,CONFIRMED,CH-T002-E09#b68dfbd0078630dd34a6ce2c94aafd769418c0849d619c9c889d1d939c8e71a2:PROVENANCE,APPROVED,Apache-2.0 OR MIT,CH-T002-E09#b68dfbd0078630dd34a6ce2c94aafd769418c0849d619c9c889d1d939c8e71a2:LICENSE,ch-t002-e0002-lane-02@local.invalid,REVIEWED,CH-T002-N01,,NONE,test_n01_accepted,CH-T002-E09#b68dfbd0078630dd34a6ce2c94aafd769418c0849d619c9c889d1d939c8e71a2:PRIMARY;CH-T002-E09#b68dfbd0078630dd34a6ce2c94aafd769418c0849d619c9c889d1d939c8e71a2:SECONDARY;CH-T002-E10#b68dfbd0078630dd34a6ce2c94aafd769418c0849d619c9c889d1d939c8e71a2:SECONDARY;CH-T002-E11#b68dfbd0078630dd34a6ce2c94aafd769418c0849d619c9c889d1d939c8e71a2:PRIMARY,ACCEPTED,2026-07-22T12:04:42Z
1.0.0,0795989aa7b682e6bc1108b532939c52b5d7fdfc,434a7d0f13f8d4100a6a2d02d77fcd76159aefcc,sha1,reject,3062019feafca7c7a03419e0f12839ed62df46c189981eadf36b2be2d77998d4,356,380a216abe4e36c443643c898536d691d2fb1edf0ce9d083dbcb603fda7591e9,32d39c84dbf344813be0068d619564ace062de90bff6353479f1d1acdb1bf376,9117ecc6a8a0b4c58c970fd535ef282243328dec3c6949ea810e95aa0d5b2a0d,f81bd55e87c0507a67adcd9b79c2f036047dd2a956b0d7730ec4fd3c5c7f0272,05f7683d254d94b0121433c5b283a43c2e05c2fe250abb9f9ff5d1f4f4714573,356,audit/generated/FILE_REVIEW_LEDGER.csv,.gitignore,true,100644,blob,3fd083b87a2c1f95af7987d52b78df4a9402b903,284f5a3e3e2111d0fdab04b49e7bf25cd3c994890641e84ca775352862a1d75d,445,23,TEXT_UTF8,true,100644,8cec0394d841382d7e41830c7e29bb3a169b08dc,NONE,cfcafb758561ee79536d05b834cd618e995982df699c8f8f860088e60acfb9f9,539,28,TEXT_UTF8,MODIFIED_IN_INDEX,TRACKED,REGULAR,100644,8cec0394d841382d7e41830c7e29bb3a169b08dc,cfcafb758561ee79536d05b834cd618e995982df699c8f8f860088e60acfb9f9,539,28,TEXT_UTF8,CLEAN_AGAINST_INDEX,,,NONE_OBSERVED_REVIEW_REQUIRED,REPOSITORY_SUPPORT,DECLARED_SOURCE_COMMIT_AND_CURRENT_VIEW,8cec0394d841382d7e41830c7e29bb3a169b08dc,cfcafb758561ee79536d05b834cd618e995982df699c8f8f860088e60acfb9f9,539,28,GITIGNORE,GITIGNORE,NO,,YES,YES,NO,NO,CONFIRMED,CH-T002-E09#012446220d21a4d7c03152bf5d9a8343769a16c245d164568dbe2162aaf4aa06:PROVENANCE,APPROVED,Apache-2.0 OR MIT,CH-T002-E09#012446220d21a4d7c03152bf5d9a8343769a16c245d164568dbe2162aaf4aa06:LICENSE,ch-t002-e0002-lane-03@local.invalid,REVIEWED,CH-T002-N01,,NONE,test_n01_accepted,CH-T002-E09#012446220d21a4d7c03152bf5d9a8343769a16c245d164568dbe2162aaf4aa06:PRIMARY;CH-T002-E09#012446220d21a4d7c03152bf5d9a8343769a16c245d164568dbe2162aaf4aa06:SECONDARY;CH-T002-E11#012446220d21a4d7c03152bf5d9a8343769a16c245d164568dbe2162aaf4aa06:SECONDARY;CH-T002-E12#012446220d21a4d7c03152bf5d9a8343769a16c245d164568dbe2162aaf4aa06:PRIMARY,ACCEPTED,2026-07-22T12:04:42Z
1.0.0,0795989aa7b682e6bc1108b532939c52b5d7fdfc,434a7d0f13f8d4100a6a2d02d77fcd76159aefcc,sha1,reject,3062019feafca7c7a03419e0f12839ed62df46c189981eadf36b2be2d77998d4,356,380a216abe4e36c443643c898536d691d2fb1edf0ce9d083dbcb603fda7591e9,32d39c84dbf344813be0068d619564ace062de90bff6353479f1d1acdb1bf376,9117ecc6a8a0b4c58c970fd535ef282243328dec3c6949ea810e95aa0d5b2a0d,f81bd55e87c0507a67adcd9b79c2f036047dd2a956b0d7730ec4fd3c5c7f0272,05f7683d254d94b0121433c5b283a43c2e05c2fe250abb9f9ff5d1f4f4714573,356,audit/generated/FILE_REVIEW_LEDGER.csv,.ncp-consumer,true,100644,blob,e9106abaeea47a1100f428885211f869b7000a32,fbd91d004c490c04138ebf2e479b59205464f0cb2bcd37434c4e75d0c40c7fa2,344,5,TEXT_UTF8,true,100644,e9106abaeea47a1100f428885211f869b7000a32,NONE,fbd91d004c490c04138ebf2e479b59205464f0cb2bcd37434c4e75d0c40c7fa2,344,5,TEXT_UTF8,IDENTICAL,TRACKED,REGULAR,100644,e9106abaeea47a1100f428885211f869b7000a32,fbd91d004c490c04138ebf2e479b59205464f0cb2bcd37434c4e75d0c40c7fa2,344,5,TEXT_UTF8,CLEAN_AGAINST_INDEX,,,NONE_OBSERVED_REVIEW_REQUIRED,REPOSITORY_SUPPORT,DECLARED_SOURCE_COMMIT_AND_CURRENT_VIEW,e9106abaeea47a1100f428885211f869b7000a32,fbd91d004c490c04138ebf2e479b59205464f0cb2bcd37434c4e75d0c40c7fa2,344,5,NCP_CONSUMER_MARKER,NCP_CONSUMER_MARKER,NO,,YES,YES,NO,YES,CONFIRMED,CH-T002-E09#ac64b2dd386e26dffecd04930d97f9852eb490132fbf8e0c4e203930384b38f0:PROVENANCE,APPROVED,Apache-2.0 OR MIT,CH-T002-E09#ac64b2dd386e26dffecd04930d97f9852eb490132fbf8e0c4e203930384b38f0:LICENSE,ch-t002-e0002-lane-02@local.invalid,REVIEWED,CH-T002-N01,,NONE,test_n01_accepted,CH-T002-E09#ac64b2dd386e26dffecd04930d97f9852eb490132fbf8e0c4e203930384b38f0:PRIMARY;CH-T002-E09#ac64b2dd386e26dffecd04930d97f9852eb490132fbf8e0c4e203930384b38f0:SECONDARY;CH-T002-E11#ac64b2dd386e26dffecd04930d97f9852eb490132fbf8e0c4e203930384b38f0:PRIMARY;CH-T002-E12#ac64b2dd386e26dffecd04930d97f9852eb490132fbf8e0c4e203930384b38f0:SECONDARY,ACCEPTED,2026-07-22T12:04:42Z
1.0.0,0795989aa7b682e6bc1108b532939c52b5d7fdfc,434a7d0f13f8d4100a6a2d02d77fcd76159aefcc,sha1,reject,3062019feafca7c7a03419e0f12839ed62df46c189981eadf36b2be2d77998d4,356,380a216abe4e36c443643c898536d691d2fb1edf0ce9d083dbcb603fda7591e9,32d39c84dbf344813be0068d619564ace062de90bff6353479f1d1acdb1bf376,9117ecc6a8a0b4c58c970fd535ef282243328dec3c6949ea810e95aa0d5b2a0d,f81bd55e87c0507a67adcd9b79c2f036047dd2a956b0d7730ec4fd3c5c7f0272,05f7683d254d94b0121433c5b283a43c2e05c2fe250abb9f9ff5d1f4f4714573,356,audit/generated/FILE_REVIEW_LEDGER.csv,CONTRIBUTING.md,true,100644,blob,6f4f44f2f4bf6737ea8643ae8c1806889b859de2,6e425e42cc9593ba5f56ee2ff6d85e4d857cc8a33c06511b2cee6d0490e8ac7c,2001,38,TEXT_UTF8,true,100644,6f4f44f2f4bf6737ea8643ae8c1806889b859de2,NONE,6e425e42cc9593ba5f56ee2ff6d85e4d857cc8a33c06511b2cee6d0490e8ac7c,2001,38,TEXT_UTF8,IDENTICAL,TRACKED,REGULAR,100644,6f4f44f2f4bf6737ea8643ae8c1806889b859de2,6e425e42cc9593ba5f56ee2ff6d85e4d857cc8a33c06511b2cee6d0490e8ac7c,2001,38,TEXT_UTF8,CLEAN_AGAINST_INDEX,,,NONE_OBSERVED_REVIEW_REQUIRED,REPOSITORY_SUPPORT,DECLARED_SOURCE_COMMIT_AND_CURRENT_VIEW,6f4f44f2f4bf6737ea8643ae8c1806889b859de2,6e425e42cc9593ba5f56ee2ff6d85e4d857cc8a33c06511b2cee6d0490e8ac7c,2001,38,MARKDOWN,MARKDOWN,NO,,YES,NO,NO,NO,CONFIRMED,CH-T002-E09#d2de8703d0afa91957ebd73ee05b2a5293d8e5c1489d187107497b3823383f3a:PROVENANCE,APPROVED,Apache-2.0 OR MIT,CH-T002-E09#d2de8703d0afa91957ebd73ee05b2a5293d8e5c1489d187107497b3823383f3a:LICENSE,ch-t002-e0002-lane-02@local.invalid,REVIEWED,CH-T002-N01,,NONE,test_n01_accepted,CH-T002-E09#d2de8703d0afa91957ebd73ee05b2a5293d8e5c1489d187107497b3823383f3a:PRIMARY;CH-T002-E09#d2de8703d0afa91957ebd73ee05b2a5293d8e5c1489d187107497b3823383f3a:SECONDARY;CH-T002-E11#d2de8703d0afa91957ebd73ee05b2a5293d8e5c1489d187107497b3823383f3a:PRIMARY;CH-T002-E12#d2de8703d0afa91957ebd73ee05b2a5293d8e5c1489d187107497b3823383f3a:SECONDARY,ACCEPTED,2026-07-22T12:04:42Z
1.0.0,0795989aa7b682e6bc1108b532939c52b5d7fdfc,434a7d0f13f8d4100a6a2d02d77fcd76159aefcc,sha1,reject,3062019feafca7c7a03419e0f12839ed62df46c189981eadf36b2be2d77998d4,356,380a216abe4e36c443643c898536d691d2fb1edf0ce9d083dbcb603fda7591e9,32d39c84dbf344813be0068d619564ace062de90bff6353479f1d1acdb1bf376,9117ecc6a8a0b4c58c970fd535ef282243328dec3c6949ea810e95aa0d5b2a0d,f81bd55e87c0507a67adcd9b79c2f036047dd2a956b0d7730ec4fd3c5c7f0272,05f7683d254d94b0121433c5b283a43c2e05c2fe250abb9f9ff5d1f4f4714573,356,audit/generated/FILE_REVIEW_LEDGER.csv,Cargo.lock,true,100644,blob,8cfa383996dbfbcfc0706b2f2e8f692f91ed294c,8767fc69ea7b90b374de6ca77e9d22dbfac0e3b1db236ea03d24f05470d2831f,78860,3228,TEXT_UTF8,true,100644,8cfa383996dbfbcfc0706b2f2e8f692f91ed294c,NONE,8767fc69ea7b90b374de6ca77e9d22dbfac0e3b1db236ea03d24f05470d2831f,78860,3228,TEXT_UTF8,IDENTICAL,TRACKED,REGULAR,100644,8cfa383996dbfbcfc0706b2f2e8f692f91ed294c,8767fc69ea7b90b374de6ca77e9d22dbfac0e3b1db236ea03d24f05470d2831f,78860,3228,TEXT_UTF8,CLEAN_AGAINST_INDEX,,,LOCKFILE,GENERATED_CANDIDATE,DECLARED_SOURCE_COMMIT_AND_CURRENT_VIEW,8cfa383996dbfbcfc0706b2f2e8f692f91ed294c,8767fc69ea7b90b374de6ca77e9d22dbfac0e3b1db236ea03d24f05470d2831f,78860,3228,TOML_LOCK,TOML_LOCK,YES,PINNED_CARGO_1.96.0_FROM_WORKSPACE_MANIFESTS,YES,YES,NO,YES,CONFIRMED,CH-T002-E09#f9009e272640108b1494d478acffcad51dea112489f874cdd4bfbf153a9f95d9:PROVENANCE,APPROVED,Apache-2.0 OR MIT,CH-T002-E09#f9009e272640108b1494d478acffcad51dea112489f874cdd4bfbf153a9f95d9:LICENSE,ch-t002-e0002-lane-03@local.invalid,REVIEWED,CH-T002-N01,,NONE,test_n01_accepted,CH-T002-E09#f9009e272640108b1494d478acffcad51dea112489f874cdd4bfbf153a9f95d9:PRIMARY;CH-T002-E09#f9009e272640108b1494d478acffcad51dea112489f874cdd4bfbf153a9f95d9:SECONDARY;CH-T002-E10#f9009e272640108b1494d478acffcad51dea112489f874cdd4bfbf153a9f95d9:SECONDARY;CH-T002-E12#f9009e272640108b1494d478acffcad51dea112489f874cdd4bfbf153a9f95d9:PRIMARY,ACCEPTED,2026-07-22T12:04:42Z
1.0.0,0795989aa7b682e6bc1108b532939c52b5d7fdfc,434a7d0f13f8d4100a6a2d02d77fcd76159aefcc,sha1,reject,3062019feafca7c7a03419e0f12839ed62df46c189981eadf36b2be2d77998d4,356,380a216abe4e36c443643c898536d691d2fb1edf0ce9d083dbcb603fda7591e9,32d39c84dbf344813be0068d619564ace062de90bff6353479f1d1acdb1bf376,9117ecc6a8a0b4c58c970fd535ef282243328dec3c6949ea810e95aa0d5b2a0d,f81bd55e87c0507a67adcd9b79c2f036047dd2a956b0d7730ec4fd3c5c7f0272,05f7683d254d94b0121433c5b283a43c2e05c2fe250abb9f9ff5d1f4f4714573,356,audit/generated/FILE_REVIEW_LEDGER.csv,Cargo.toml,true,100644,blob,f1873fa9e423f0bae08f8e791fba89df54ebd4ea,1712be900a8bab7aa0f5b12a6f1c6d47bbce4078a420936bc598673517f865a2,3779,90,TEXT_UTF8,true,100644,f1873fa9e423f0bae08f8e791fba89df54ebd4ea,NONE,1712be900a8bab7aa0f5b12a6f1c6d47bbce4078a420936bc598673517f865a2,3779,90,TEXT_UTF8,IDENTICAL,TRACKED,REGULAR,100644,f1873fa9e423f0bae08f8e791fba89df54ebd4ea,1712be900a8bab7aa0f5b12a6f1c6d47bbce4078a420936bc598673517f865a2,3779,90,TEXT_UTF8,CLEAN_AGAINST_INDEX,,,NONE_OBSERVED_REVIEW_REQUIRED,CONFIGURATION_OR_DATA,DECLARED_SOURCE_COMMIT_AND_CURRENT_VIEW,f1873fa9e423f0bae08f8e791fba89df54ebd4ea,1712be900a8bab7aa0f5b12a6f1c6d47bbce4078a420936bc598673517f865a2,3779,90,TOML,TOML,NO,,YES,YES,NO,YES,CONFIRMED,CH-T002-E09#1af14505e6330f7954b30252fc1ddec96c16176d8caf76d4b4da9931a78a8c9b:PROVENANCE,APPROVED,Apache-2.0 OR MIT,CH-T002-E09#1af14505e6330f7954b30252fc1ddec96c16176d8caf76d4b4da9931a78a8c9b:LICENSE,ch-t002-e0002-lane-03@local.invalid,REVIEWED,CH-T002-N01,,NONE,test_n01_accepted,CH-T002-E09#1af14505e6330f7954b30252fc1ddec96c16176d8caf76d4b4da9931a78a8c9b:PRIMARY;CH-T002-E09#1af14505e6330f7954b30252fc1ddec96c16176d8caf76d4b4da9931a78a8c9b:SECONDARY;CH-T002-E10#1af14505e6330f7954b30252fc1ddec96c16176d8caf76d4b4da9931a78a8c9b:SECONDARY;CH-T002-E12#1af14505e6330f7954b30252fc1ddec96c16176d8caf76d4b4da9931a78a8c9b:PRIMARY,ACCEPTED,2026-07-22T12:04:42Z
1.0.0,0795989aa7b682e6bc1108b532939c52b5d7fdfc,434a7d0f13f8d4100a6a2d02d77fcd76159aefcc,sha1,reject,3062019feafca7c7a03419e0f12839ed62df46c189981eadf36b2be2d77998d4,356,380a216abe4e36c443643c898536d691d2fb1edf0ce9d083dbcb603fda7591e9,32d39c84dbf344813be0068d619564ace062de90bff6353479f1d1acdb1bf376,9117ecc6a8a0b4c58c970fd535ef282243328dec3c6949ea810e95aa0d5b2a0d,f81bd55e87c0507a67adcd9b79c2f036047dd2a956b0d7730ec4fd3c5c7f0272,05f7683d254d94b0121433c5b283a43c2e05c2fe250abb9f9ff5d1f4f4714573,356,audit/generated/FILE_REVIEW_LEDGER.csv,LICENSE-APACHE,true,100644,blob,9351e9f630a097acc5013063a67caca5183d74c9,bea3a5ebc1671071bb1bb157c18313a08821abd3d5e5e1915043b18cf78a0cfd,11347,201,TEXT_UTF8,true,100644,9351e9f630a097acc5013063a67caca5183d74c9,NONE,bea3a5ebc1671071bb1bb157c18313a08821abd3d5e5e1915043b18cf78a0cfd,11347,201,TEXT_UTF8,IDENTICAL,TRACKED,REGULAR,100644,9351e9f630a097acc5013063a67caca5183d74c9,bea3a5ebc1671071bb1bb157c18313a08821abd3d5e5e1915043b18cf78a0cfd,11347,201,TEXT_UTF8,CLEAN_AGAINST_INDEX,,,NONE_OBSERVED_REVIEW_REQUIRED,REPOSITORY_SUPPORT,DECLARED_SOURCE_COMMIT_AND_CURRENT_VIEW,9351e9f630a097acc5013063a67caca5183d74c9,bea3a5ebc1671071bb1bb157c18313a08821abd3d5e5e1915043b18cf78a0cfd,11347,201,LICENSE_TEXT,LICENSE_TEXT,NO,,YES,NO,NO,NO,CONFIRMED,CH-T002-E09#f7edf808f3fad27a34886e27cb12dd17f65bc3c2b76175e43f52eda5567fa7cb:PROVENANCE,APPROVED,Apache-2.0,CH-T002-E09#f7edf808f3fad27a34886e27cb12dd17f65bc3c2b76175e43f52eda5567fa7cb:LICENSE,ch-t002-e0002-lane-02@local.invalid,REVIEWED,CH-T002-N01,,NONE,test_n01_accepted,CH-T002-E09#f7edf808f3fad27a34886e27cb12dd17f65bc3c2b76175e43f52eda5567fa7cb:PRIMARY;CH-T002-E09#f7edf808f3fad27a34886e27cb12dd17f65bc3c2b76175e43f52eda5567fa7cb:SECONDARY;CH-T002-E11#f7edf808f3fad27a34886e27cb12dd17f65bc3c2b76175e43f52eda5567fa7cb:PRIMARY;CH-T002-E12#f7edf808f3fad27a34886e27cb12dd17f65bc3c2b76175e43f52eda5567fa7cb:SECONDARY,ACCEPTED,2026-07-22T12:04:42Z
1.0.0,0795989aa7b682e6bc1108b532939c52b5d7fdfc,434a7d0f13f8d4100a6a2d02d77fcd76159aefcc,sha1,reject,3062019feafca7c7a03419e0f12839ed62df46c189981eadf36b2be2d77998d4,356,380a216abe4e36c443643c898536d691d2fb1edf0ce9d083dbcb603fda7591e9,32d39c84dbf344813be0068d619564ace062de90bff6353479f1d1acdb1bf376,9117ecc6a8a0b4c58c970fd535ef282243328dec3c6949ea810e95aa0d5b2a0d,f81bd55e87c0507a67adcd9b79c2f036047dd2a956b0d7730ec4fd3c5c7f0272,05f7683d254d94b0121433c5b283a43c2e05c2fe250abb9f9ff5d1f4f4714573,356,audit/generated/FILE_REVIEW_LEDGER.csv,LICENSE-MIT,true,100644,blob,dae57fd749e6006c1121439b4f9ce966c4514493,faa815fa3c5afee4349c48ea3740b75d82d9e2b6f10835daf224709f00348b33,1074,21,TEXT_UTF8,true,100644,dae57fd749e6006c1121439b4f9ce966c4514493,NONE,faa815fa3c5afee4349c48ea3740b75d82d9e2b6f10835daf224709f00348b33,1074,21,TEXT_UTF8,IDENTICAL,TRACKED,REGULAR,100644,dae57fd749e6006c1121439b4f9ce966c4514493,faa815fa3c5afee4349c48ea3740b75d82d9e2b6f10835daf224709f00348b33,1074,21,TEXT_UTF8,CLEAN_AGAINST_INDEX,,,NONE_OBSERVED_REVIEW_REQUIRED,REPOSITORY_SUPPORT,DECLARED_SOURCE_COMMIT_AND_CURRENT_VIEW,dae57fd749e6006c1121439b4f9ce966c4514493,faa815fa3c5afee4349c48ea3740b75d82d9e2b6f10835daf224709f00348b33,1074,21,LICENSE_TEXT,LICENSE_TEXT,NO,,YES,NO,NO,NO,CONFIRMED,CH-T002-E09#b19de90d625a27f4adda66fd252b3a5bd4cecb84dbd9b05000efbd93f5bd4e26:PROVENANCE,APPROVED,MIT,CH-T002-E09#b19de90d625a27f4adda66fd252b3a5bd4cecb84dbd9b05000efbd93f5bd4e26:LICENSE,ch-t002-e0002-lane-01@local.invalid,REVIEWED,CH-T002-N01,,NONE,test_n01_accepted,CH-T002-E09#b19de90d625a27f4adda66fd252b3a5bd4cecb84dbd9b05000efbd93f5bd4e26:PRIMARY;CH-T002-E09#b19de90d625a27f4adda66fd252b3a5bd4cecb84dbd9b05000efbd93f5bd4e26:SECONDARY;CH-T002-E10#b19de90d625a27f4adda66fd252b3a5bd4cecb84dbd9b05000efbd93f5bd4e26:PRIMARY;CH-T002-E12#b19de90d625a27f4adda66fd252b3a5bd4cecb84dbd9b05000efbd93f5bd4e26:SECONDARY,ACCEPTED,2026-07-22T12:04:42Z
1.0.0,0795989aa7b682e6bc1108b532939c52b5d7fdfc,434a7d0f13f8d4100a6a2d02d77fcd76159aefcc,sha1,reject,3062019feafca7c7a03419e0f12839ed62df46c189981eadf36b2be2d77998d4,356,380a216abe4e36c443643c898536d691d2fb1edf0ce9d083dbcb603fda7591e9,32d39c84dbf344813be0068d619564ace062de90bff6353479f1d1acdb1bf376,9117ecc6a8a0b4c58c970fd535ef282243328dec3c6949ea810e95aa0d5b2a0d,f81bd55e87c0507a67adcd9b79c2f036047dd2a956b0d7730ec4fd3c5c7f0272,05f7683d254d94b0121433c5b283a43c2e05c2fe250abb9f9ff5d1f4f4714573,356,audit/generated/FILE_REVIEW_LEDGER.csv,README.md,true,100644,blob,2fb4c57d7656b4b59c1acff68edc80f81711c25d,2044c3a84a1f35087769f5e6c67fbf01c1c4179958a4ce6d50734b60c63ff4fa,19976,275,TEXT_UTF8,true,100644,2fb4c57d7656b4b59c1acff68edc80f81711c25d,NONE,2044c3a84a1f35087769f5e6c67fbf01c1c4179958a4ce6d50734b60c63ff4fa,19976,275,TEXT_UTF8,IDENTICAL,TRACKED,REGULAR,100644,2fb4c57d7656b4b59c1acff68edc80f81711c25d,2044c3a84a1f35087769f5e6c67fbf01c1c4179958a4ce6d50734b60c63ff4fa,19976,275,TEXT_UTF8,CLEAN_AGAINST_INDEX,,,NONE_OBSERVED_REVIEW_REQUIRED,REPOSITORY_SUPPORT,DECLARED_SOURCE_COMMIT_AND_CURRENT_VIEW,2fb4c57d7656b4b59c1acff68edc80f81711c25d,2044c3a84a1f35087769f5e6c67fbf01c1c4179958a4ce6d50734b60c63ff4fa,19976,275,MARKDOWN,MARKDOWN,NO,,YES,YES,NO,YES,CONFIRMED,CH-T002-E09#7e63f4912e3ff3b28c6f1c0de8853a9260f2de49c8545a272e46bd1e54c24979:PROVENANCE,APPROVED,Apache-2.0 OR MIT,CH-T002-E09#7e63f4912e3ff3b28c6f1c0de8853a9260f2de49c8545a272e46bd1e54c24979:LICENSE,ch-t002-e0002-lane-03@local.invalid,REVIEWED,CH-T002-N01,,NONE,test_n01_accepted,CH-T002-E09#7e63f4912e3ff3b28c6f1c0de8853a9260f2de49c8545a272e46bd1e54c24979:PRIMARY;CH-T002-E09#7e63f4912e3ff3b28c6f1c0de8853a9260f2de49c8545a272e46bd1e54c24979:SECONDARY;CH-T002-E10#7e63f4912e3ff3b28c6f1c0de8853a9260f2de49c8545a272e46bd1e54c24979:SECONDARY;CH-T002-E12#7e63f4912e3ff3b28c6f1c0de8853a9260f2de49c8545a272e46bd1e54c24979:PRIMARY,ACCEPTED,2026-07-22T12:04:42Z
