repository,repository_id,exact_head,head_state,default_branch,archived,fork,visibility,first_party,controller_relevance,transport_relevance,plant_relevance,state_relevance,evidence_relevance,supply_chain_relevance,agentic_tool_relevance,tcb_class,audit_depth,classification_status,justification,reviewer,review_date,review_attestation,review_status
sepahead/12-factor-agents,1021609934,c700b222a16eed7d2fc57665bf9e457816ad0f50,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/ANE,1172376525,4a6f3e40a96e4e69d05f95561b42f3d7acc66056,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/AdalFlow,898411019,51ac755abbbe99edb6afa96b5016df996e24d63c,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/Agent-S,965681889,ba291cc57d764251255db6958b0b48b9e7b27a38,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/AgentStack,890536071,9694ab5bb0dff32e5ea446da64223c812bfcd606,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/ComfyUI,839600658,8115d8cce97a3edaaad8b08b45ab37c6782e1cb4,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/Depth-Anything-3,1097063737,40674546e40144452ec93035ac77d762f4b5d16f,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/DreamVLA,1124994090,d9fa51ca6964aab246ae9df41531dd4df56b7cd4,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/FastEdit,914489905,76a8cf62a80d1017caeb5daca2b8cce5755f24ae,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/FastGS,1098098967,dce6f1477a50ef9ca3e807207351f51755719115,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/GET3D,575788707,6fda9cd15ab78e88db3ba00766df489a3ce88b41,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/GHAP,1102161071,3a609b30963ac111ab6a7635c6835efd96df7b14,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/GenAI_Agents,863027004,9b5aa054a059ae96aee88e76ea6f853f28eeee87,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/HunyuanWorld-Mirror,1108520985,4d86308022e3083166127e8e362e6a1a26a85dcb,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/IDTxl,74529501,367176b4fc61f339b6bc3e4ba83382c22b81bb33,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/IF,1109616922,ffc8163891682beaca0c5eb6b9077860a3bc6509,COMMIT,develop,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/Infinite,1188381421,7d5a1a4a200e727fa1b97708356668d85561a07b,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/KAG,911808586,f5ad5f1101cf9255ec0594c4c5735f84b3b4ce96,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/LLaMA-Factory,914380657,6b34b69fa688c4622489d3d5f33d847fb6b95528,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/LightRAG,911804964,f52982d5cf124f4229c8bcaa2a8765ba39971a56,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/MLAlgorithms,80034113,12e7c8770e7f9ed0d3bb29f2b1ae957029c454cf,COMMIT,master,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/MVP,1119842730,da9031b9fca8ac1c4d6a5c1e1bdbec5b6cdaf2bc,COMMIT,main,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/MatCo-public,466056487,0367ccb7d64fae552833005383ee097fcec94f4f,COMMIT,main,false,false,PUBLIC,true,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation binds this first-party repository identity and head but no description. The reviewed Haldir sources assign it no NCP ecosystem role. Its name alone does not establish controller, transport, plant, state, evidence, supply-chain, or agentic-tool use.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/NCP,1271304851,46556a617db9ca8b120400228423ea8c206af0e3,COMMIT,main,false,false,PUBLIC,true,true,true,true,true,true,true,false,AUTHORITY_TCB,DEEP,FINAL_FOR_INVENTORY,"First-party normative NCP wire and transport baseline explicitly pinned by Haldir. Its contracts, validators, conformance corpus, and packages constrain controller, state, evidence, and plant messages; this classification does not claim that the current 1.0 candidate is integrated or released.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
sepahead/NeMo-Guardrails,880659741,a8720761f392f05934cb9447f10f2dff707bb9f1,COMMIT,develop,false,true,PUBLIC,false,false,false,false,false,false,false,false,OUTSIDE_RUNTIME_TCB,INVENTORY_ONLY,FINAL_FOR_INVENTORY,"The retained observation marks this repository as a fork but does not retain its parent identity. The reviewed Haldir sources assign it no NCP ecosystem role. Fork status and repository identity alone do not establish use, deployment, local modification, or dependency status.",Codex capture-bound public classification review,2026-08-02,I reviewed each classification against its bound captured observation and the declared maintained source set. I inferred no unobserved repository content or completed runtime integration; empty repositories are explicit and no field is unresolved.,REVIEWED
